Vivado Simulator 2018.2
Time resolution is 1 ps
Time: 0, A = 000000000000, B = 000, R = 0000, O = 0
Time: 100, A = 000000000001, B = 000, R = 0000, O = 0
Time: 200, A = 000011111111, B = 100, R = 0001, O = 1
Time: 300, A = 000000000010, B = 100, R = 0001, O = 1
Time: 400, A = 000000000011, B = 100, R = 0001, O = 1
Time: 500, A = 111111111111, B = 100, R = 0001, O = 1
Time: 600, A = 000011000000, B = 100, R = 0001, O = 1
Time: 700, A = 000000110000, B = 100, R = 0001, O = 1
Time: 800, A = 000000000100, B = 100, R = 0001, O = 1
